1) Житомир:  [Киев, Донецк, Волгоград]
2) Каунас:  [Вильнюс, Рига]
3) Вильюс:  [Витебск]
4) Волгоград:  [Воронеж, Витебск, Житомир]
5) Рига:  [С.Петербург, Каунас, Таллинн]
6) С.Петербург:  [Витебск, Калининград, Рига, Москва, Мурманск]
7) Москва:  [Казань, Ниж.Новгород, Минск, Донецк, С.Петербург, Орел]
8) Вильнюс:  [Брест, Даугавпилс, Калининград, Каунас, Киев]
9) Даугавпилс:  [Вильнюс]
10) Таллинн:  [Рига]
11) Калининград:  [Брест, Вильнюс, С.Петербург]
12) Киев:  [Вильнюс, Житомир, Кишинев, Одесса, Харьков]
13) Витебск:  [Брест, Вильюс, Воронеж, Волгоград, Ниж.Новгород, С.Петербург, Орел]
14) Минск:  [Москва, Мурманск, Ярославль]
15) Одесса:  [Киев]
16) Воронеж:  [Витебск, Волгоград, Ярославль]
17) Кишинев:  [Киев, Донецк]
18) Уфа:  [Казань, Самара]
19) Самара:  [Уфа]
20) Казань:  [Москва, Уфа]
21) Ярославль:  [Воронеж, Минск]
22) Орел:  [Витебск, Донецк, Москва]
23) Брест:  [Вильнюс, Витебск, Калининград]
24) Харьков:  [Киев, Симферополь]
25) Ниж.Новгород:  [Витебск, Москва]
26) Мурманск:  [С.Петербург, Минск]
27) Донецк:  [Житомир, Кишинев, Москва, Орел]
28) Симферополь:  [Харьков]
